"iNaturalist.taxon.name","iNaturalist.taxon.ID","Taxon.name","Author","Kingdom","Phylum","Subphylum","Superclass","Class","Subclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Subfamily","Tribe","Genus","Species","observationId","Latitude","Longitude","Date.observed","Description","Common.name","Recorded.by","Captive.Cultivated","Quality.grade","coordinateUncertaintyInMeters"
"Lewinskya rupestris",589145,"Lewinskya rupestris",NA,"Plantae","Bryophyta","","","Bryopsida","","","Orthotrichales","","","","Orthotrichaceae","","","Lewinskya","rupestris","iNat:2608530",48.93389,-123.485813,"2015-03-21",NA,NA,"Lauren Magner","false","research",349
"Bryum",67867,"Bryum",NA,"Plantae","Bryophyta","","","Bryopsida","","","Bryales","","","","Bryaceae","","","Bryum","","iNat:2608582",48.929351,-123.475256,"2015-03-21",NA,NA,"Lauren Magner","false","needs_id",44
"Bryum",67867,"Bryum",NA,"Plantae","Bryophyta","","","Bryopsida","","","Bryales","","","","Bryaceae","","","Bryum","","iNat:2608587",48.929351,-123.475256,"2015-03-21",NA,NA,"Lauren Magner","false","needs_id",44
"Schistidium maritimum",168578,"Schistidium maritimum",NA,"Plantae","Bryophyta","","","Bryopsida","","","Grimmiales","","","","Grimmiaceae","","","Schistidium","maritimum","iNat:2608657",48.929351,-123.475256,"2015-03-21",NA,NA,"Lauren Magner","false","research",44
"Hypnum circinale",125464,"Hypnum circinale",NA,"Plantae","Bryophyta","","","Bryopsida","","","Hypnales","","","","Hypnaceae","","","Hypnum","circinale","iNat:2608763",48.933665,-123.48135,"2015-03-21",NA,NA,"Lauren Magner","false","research",174
"Kindbergia praelonga",1122172,"Kindbergia praelonga",NA,"Plantae","Bryophyta","","","Bryopsida","","","Hypnales","","","","Brachytheciaceae","","","Kindbergia","praelonga","iNat:2608767",48.933665,-123.48135,"2015-03-21",NA,NA,"Lauren Magner","false","research",174
"Leucolepis acanthoneura",120870,"Leucolepis acanthoneura",NA,"Plantae","Bryophyta","","","Bryopsida","","","Bryales","","","","Mniaceae","","","Leucolepis","acanthoneura","iNat:2608775",48.933665,-123.48135,"2015-03-21",NA,NA,"Lauren Magner","false","research",174
"Aulacomnium androgynum",124384,"Aulacomnium androgynum",NA,"Plantae","Bryophyta","","","Bryopsida","","","Aulacomniales","","","","Aulacomniaceae","","","Aulacomnium","androgynum","iNat:2608820",48.933101,-123.479204,"2015-03-21",NA,NA,"Lauren Magner","false","research",87
"Dicranoweisia cirrata",67949,"Dicranoweisia cirrata",NA,"Plantae","Bryophyta","","","Bryopsida","","","Dicranales","","","","Rhabdoweisiaceae","","","Dicranoweisia","cirrata","iNat:2608829",48.933101,-123.479204,"2015-03-21",NA,NA,"Lauren Magner","false","research",87
"Bryum",67867,"Bryum",NA,"Plantae","Bryophyta","","","Bryopsida","","","Bryales","","","","Bryaceae","","","Bryum","","iNat:2608925",48.927857,-123.467274,"2015-03-21",NA,NA,"Lauren Magner","false","needs_id",174
